;;;TOTAL;Trail La Capitana 250;Sonrisa de Rafa 500;Trail Álora 1000;Sierra Blaca 1000;Sierra Elvira 1000;Sierra Morena 250;Lújar 250;Montellano 500;Dúrcal 500;Ubrique 250;Jubrique 250;Mágina 250;Pinsapo 500;Los Tajos 1000;Ruta agua 1000;Casares 250;Camp Esp Trail 2000;Cam Esp CxM 2000;Alpandeire 250;Zegama 2000;Igualeja 250;La Sagra 1000;Calar alto 250;Coripe 250;Zenete 250;OCC 2000;CCC 2000;Guajares 500;Gador Dalias 500;Benemerita 500;Cazorla Trails 1000;Chamizo 250;Macael 1000;Pamital 250;Almijara 500;Abades 1000;Jarapalos 2000;Faraján 500;;;;;;
ABSOLUTO MASCULINO
1;IVAN ;ORTIZ;2810;0;500;1000;0;500;0;0;0;300;0;0;0;0;10;500;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
2;ANGEL;MERINO;2650;0;150;600;0;400;0;0;500;0;0;0;0;0;0;750;0;0;0;0;0;0;0;0;250;0;0;0;;;;;;;;;;;;;;;;;
3;Antonio;Herrera Aragon;2198;0;0;0;0;750;0;0;0;0;0;0;0;0;1000;0;0;0;400;0;48;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
4;JUAN J ;BRAVO LUNA;2100;0;200;0;0;1000;0;0;0;0;0;0;0;0;750;0;0;0;0;0;0;150;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
5;VICTOR;PIMENTEL;1510;0;175;750;400;0;0;0;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
6;Jacob ;Gutierrez Vilchez;1500;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;0;0;0;;;;;;;;;;;;;;;;;
7;ALBERTO;GAMERO;1455;0;250;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;0;20;0;0;185;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
8;Carlos;Garcia Hurtado;1395;0;0;0;0;0;0;0;0;375;0;0;0;0;0;0;0;1000;20;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
9;JUAN ;Perez Torreglosa;1275;0;375;0;750;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
10;ANDRES;VIEDMA;970;0;300;0;0;0;0;0;0;0;0;0;0;0;50;600;0;0;20;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
11;Adolfo;Mariscal Jimena;884;0;0;0;0;125;0;0;0;250;0;0;0;0;0;300;0;0;0;0;0;0;24;0;0;185;0;0;;;;;;;;;;;;;;;;;
12;Dani ;Garcia;850;250;0;0;0;0;0;0;0;0;0;0;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
13;Víctor;Galiana Rebolledo;842;0;5;0;0;0;0;0;250;0;0;0;0;250;0;125;0;0;0;87;0;0;0;0;125;0;0;0;;;;;;;;;;;;;;;;;
14;Jesus;Cabrera Aguilar;826;0;0;0;0;0;0;0;375;0;250;0;0;0;16;0;0;0;0;0;0;0;0;0;185;0;0;0;;;;;;;;;;;;;;;;;
15;Jose Antonio;Cuevas;760;0;0;500;0;0;250;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
16;Jeus ;Ortega Ruiz;735;0;0;0;0;300;0;0;0;0;0;0;0;0;10;350;0;0;0;0;0;0;75;0;0;0;0;0;;;;;;;;;;;;;;;;;
17;Jose Angel;Fernandez Jimenez;700;0;0;0;0;0;0;0;0;200;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
18;Juan;Chacon Resina;700;0;0;0;0;200;0;0;0;0;0;0;250;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
19;Fran;Anguita;648;63;0;300;0;10;0;0;0;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;;;;;;;;;;;;;;;;;
20;Manuel;Anguita Bayo;600;0;0;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
21;Ignacio;Salcedo Castro;525;0;0;150;0;0;0;0;0;0;0;0;0;375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
22;Anton;Samokhvalov;500;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
23;Nono;Ortega;470;100;0;350;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
24;Antonio Alfonso;Torres Diaz;415;0;15;0;0;0;0;0;0;0;0;250;0;0;0;75;0;0;0;0;0;75;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
25;Jose Antonio;Castilla;400;0;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
26;Jacinto;Picardo Arroyo;400;0;0;0;250;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
27;IVAN ;Garcia;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
28;Juan;Imbernon Guerrero;400;0;0;0;0;15;0;100;0;125;0;0;150;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
29;IVAN ;Tejero Vazquez;400;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;;;;;;;;;;;;;;;;;
30;Rafa;Romero;350;0;0;0;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
31;Jose Antonio;Urbaneja Carrasco;325;0;0;125;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
32;Francisco Javier;Cantero Rio;310;0;0;0;0;0;0;0;0;0;0;0;0;300;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
33;JUANMI;BERZOSA;310;0;125;0;0;75;0;0;0;0;0;0;0;0;10;100;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
34;Jose Maria;Garrido Reyes;300;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
